"K","exclus","semcoh","heldout"
8,9.32768504549389,-75.244307252202,-4.1845828307463
9,9.36935686490124,-79.1904616391366,-4.20183661228512
10,9.37451510896668,-78.2493533923301,-4.16634188669176
11,9.37459971030391,-78.2150281688104,-4.17312576692963
12,9.36400026418701,-78.4846063079148,-4.18415443031565
13,9.37726058434217,-78.6665823061045,-4.16589707547781
14,9.38249182083638,-79.593008229912,-4.17641736494866
15,9.39375366401305,-79.397112301879,-4.15304355855588
16,9.39421955871335,-79.4117042608022,-4.16408247273748
